iter	Passed	Remaining
0	165	165281
1	182	91117
2	202	67208
3	217	54105
4	232	46249
5	251	41668
6	271	38536
7	290	35976
8	304	33567
9	319	31608
10	333	29951
11	346	28537
12	360	27388
13	374	26392
14	388	25487
15	402	24739
16	415	24029
17	427	23347
18	440	22749
19	464	22748
20	494	23030
21	515	22901
22	537	22844
23	553	22510
24	581	22679
25	598	22431
26	615	22165
27	630	21873
28	645	21616
29	658	21307
30	672	21025
31	684	20708
32	697	20447
33	710	20196
34	722	19932
35	734	19668
36	746	19425
37	758	19200
38	770	18974
39	781	18753
40	792	18540
41	804	18359
42	816	18170
43	829	18015
44	841	17864
45	857	17778
46	871	17672
47	884	17542
48	896	17397
49	909	17271
50	922	17159
51	934	17041
52	947	16934
53	963	16880
54	978	16819
55	988	16663
56	1003	16608
57	1025	16657
58	1050	16752
59	1067	16728
60	1104	17006
61	1141	17263
62	1164	17321
63	1188	17378
64	1220	17555
65	1242	17588
66	1266	17639
67	1286	17626
68	1301	17556
69	1316	17495
70	1333	17441
71	1351	17417
72	1367	17361
73	1382	17300
74	1398	17242
75	1413	17189
76	1430	17141
77	1444	17076
78	1459	17010
79	1472	16935
80	1486	16864
81	1502	16820
82	1517	16768
83	1532	16715
84	1550	16692
85	1566	16649
86	1580	16590
87	1598	16562
88	1615	16535
89	1632	16505
90	1646	16449
91	1662	16412
92	1676	16354
93	1691	16304
94	1704	16240
95	1716	16168
96	1728	16090
97	1741	16026
98	1753	15959
99	1765	15893
100	1777	15823
101	1791	15774
102	1806	15735
103	1820	15682
104	1832	15620
105	1844	15555
106	1856	15498
107	1872	15465
108	1885	15414
109	1898	15362
110	1911	15305
111	1926	15270
112	1938	15217
113	1950	15159
114	1962	15100
115	1973	15040
116	1985	14987
117	1997	14933
118	2009	14876
119	2020	14820
120	2033	14773
121	2046	14726
122	2058	14678
123	2070	14627
124	2082	14576
125	2095	14535
126	2108	14490
127	2119	14441
128	2132	14400
129	2146	14366
130	2159	14325
131	2173	14293
132	2190	14280
133	2202	14233
134	2214	14191
135	2227	14149
136	2242	14122
