iter	Passed	Remaining
0	12	12929
1	24	12321
2	36	12037
3	47	11911
4	59	11830
5	71	11781
6	82	11712
7	94	11682
8	106	11682
9	117	11646
10	129	11621
11	140	11590
12	151	11539
13	163	11508
14	174	11480
15	186	11470
16	197	11444
17	209	11422
18	221	11424
19	232	11409
20	244	11385
21	255	11363
22	267	11381
23	279	11375
24	291	11373
25	302	11345
26	314	11334
27	325	11310
28	337	11293
29	348	11268
30	360	11255
31	371	11246
32	383	11227
33	394	11208
34	406	11197
35	417	11185
36	429	11170
37	440	11162
38	453	11186
39	465	11166
40	476	11147
41	488	11134
42	501	11157
43	513	11162
44	525	11147
45	537	11141
46	548	11126
47	560	11108
48	571	11099
49	583	11095
50	595	11073
51	606	11056
52	618	11044
53	629	11033
54	641	11017
55	648	10936
56	660	10926
57	671	10910
58	683	10895
59	694	10878
60	705	10861
61	716	10847
62	728	10833
63	740	10826
64	751	10814
65	763	10804
66	774	10791
67	786	10778
68	797	10766
69	809	10753
70	821	10742
71	832	10726
72	843	10715
73	855	10700
74	866	10687
75	877	10674
76	889	10661
77	900	10648
78	912	10634
79	923	10624
80	935	10609
81	946	10596
82	958	10584
83	969	10571
84	981	10561
85	992	10550
86	1004	10538
87	1015	10528
88	1027	10514
89	1038	10502
90	1051	10498
91	1064	10504
92	1076	10495
93	1087	10486
94	1099	10476
95	1111	10467
96	1123	10455
97	1134	10441
98	1146	10429
99	1157	10418
100	1169	10407
101	1180	10394
102	1191	10380
103	1203	10367
104	1214	10353
105	1226	10343
106	1237	10329
107	1248	10315
108	1260	10307
109	1272	10297
110	1284	10286
111	1296	10276
112	1307	10263
113	1318	10251
114	1330	10237
115	1342	10227
116	1353	10215
117	1365	10203
118	1376	10190
119	1388	10179
120	1399	10166
121	1411	10155
122	1422	10142
123	1436	10145
124	1447	10132
125	1459	10122
126	1470	10108
127	1484	10109
128	1496	10102
129	1507	10091
130	1519	10083
131	1531	10072
132	1543	10062
133	1555	10052
134	1566	10040
135	1578	10027
136	1589	10014
137	1601	10003
138	1612	9990
139	1624	9977
140	1635	9963
141	1647	9951
142	1658	9940
143	1669	9927
144	1681	9915
145	1693	9903
146	1704	9891
147	1716	9879
148	1727	9866
149	1738	9854
150	1750	9843
151	1762	9830
152	1773	9819
153	1786	9815
154	1798	9802
155	1810	9793
156	1821	9781
157	1833	9770
158	1845	9759
159	1856	9747
160	1867	9734
161	1879	9721
162	1891	9711
163	1902	9699
164	1913	9685
165	1925	9673
166	1937	9662
167	1948	9650
168	1960	9637
169	1971	9625
170	1983	9613
171	1994	9602
172	2006	9590
173	2017	9577
174	2028	9565
175	2040	9553
176	2051	9541
177	2064	9531
178	2075	9519
179	2087	9507
180	2098	9496
181	2110	9484
182	2121	9472
183	2132	9458
184	2144	9446
185	2156	9435
186	2167	9423
187	2179	9411
188	2190	9399
189	2202	9389
190	2213	9376
191	2225	9364
192	2236	9353
193	2248	9341
194	2260	9330
195	2271	9318
196	2283	9305
197	2294	9293
198	2306	9283
199	2317	9270
200	2329	9259
201	2341	9248
202	2353	9238
203	2364	9225
204	2375	9213
205	2387	9203
206	2399	9192
207	2411	9181
208	2424	9175
209	2435	9163
210	2447	9151
211	2459	9141
212	2472	9137
213	2485	9128
214	2497	9117
215	2508	9106
216	2520	9093
217	2532	9083
218	2543	9071
219	2555	9060
220	2566	9047
221	2578	9035
222	2589	9021
223	2600	9009
224	2612	8997
225	2623	8984
226	2635	8973
227	2646	8961
228	2657	8948
229	2669	8936
230	2680	8923
231	2691	8911
232	2703	8899
233	2714	8887
234	2726	8875
235	2738	8863
236	2749	8851
237	2761	8839
238	2772	8827
239	2784	8816
240	2795	8803
241	2807	8792
242	2819	8783
243	2831	8774
244	2843	8763
245	2855	8751
246	2867	8741
247	2878	8729
248	2890	8719
249	2902	8707
250	2914	8696
251	2925	8683
252	2936	8670
253	2948	8658
254	2959	8646
255	2970	8634
256	2982	8622
257	2994	8611
258	3006	8600
259	3017	8588
260	3029	8577
261	3041	8567
262	3053	8556
263	3065	8545
264	3076	8533
265	3087	8520
266	3099	8508
267	3110	8496
268	3122	8484
269	3133	8472
270	3145	8461
271	3156	8449
272	3168	8436
273	3179	8424
274	3191	8413
275	3202	8400
276	3213	8388
277	3225	8376
278	3236	8364
279	3248	8352
280	3259	8339
281	3270	8327
282	3282	8317
283	3294	8305
284	3306	8294
285	3317	8282
286	3329	8271
287	3341	8259
288	3353	8249
289	3365	8239
290	3377	8228
291	3389	8217
292	3400	8205
293	3413	8197
294	3425	8185
295	3436	8173
296	3448	8161
297	3461	8154
298	3473	8143
299	3485	8133
300	3497	8122
301	3509	8111
302	3521	8099
303	3532	8087
304	3543	8075
305	3555	8062
306	3566	8050
307	3577	8038
308	3589	8026
309	3600	8013
310	3612	8003
311	3623	7991
312	3635	7978
313	3646	7966
314	3657	7954
315	3669	7942
316	3681	7932
317	3692	7919
318	3704	7907
319	3715	7895
320	3726	7883
321	3738	7872
322	3749	7859
323	3761	7847
324	3772	7835
325	3784	7823
326	3795	7812
327	3807	7799
328	3818	7788
329	3829	7775
330	3841	7763
331	3852	7752
332	3864	7740
333	3876	7729
334	3887	7717
335	3900	7707
336	3911	7695
337	3923	7683
338	3934	7671
339	3946	7660
340	3957	7648
341	3969	7636
342	3980	7624
343	3991	7612
344	4003	7600
345	4014	7588
346	4027	7578
347	4038	7566
348	4049	7554
349	4061	7542
350	4072	7530
351	4083	7517
352	4095	7506
353	4106	7493
354	4118	7482
355	4129	7470
356	4141	7458
357	4152	7447
358	4164	7435
359	4175	7423
360	4187	7411
361	4199	7401
362	4211	7390
363	4223	7379
364	4235	7369
365	4247	7357
366	4259	7346
367	4270	7334
368	4282	7323
369	4294	7311
370	4305	7300
371	4317	7288
372	4328	7275
373	4339	7264
374	4351	7252
375	4363	7240
376	4375	7229
377	4387	7218
378	4398	7207
379	4412	7198
380	4423	7186
381	4435	7175
382	4448	7166
383	4460	7155
384	4471	7143
385	4484	7132
386	4495	7121
387	4507	7109
388	4518	7097
389	4530	7086
390	4541	7074
391	4553	7062
392	4564	7050
393	4576	7038
394	4588	7027
395	4599	7015
396	4611	7003
397	4622	6992
398	4634	6980
399	4646	6969
400	4657	6957
401	4669	6946
402	4681	6934
403	4693	6923
404	4704	6911
405	4716	6899
406	4727	6888
407	4739	6876
408	4750	6864
409	4762	6852
410	4773	6840
411	4785	6829
